Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
1996,BUICK,LESABRE,KOBUT1BT,315,XXX,,,
1996,BUICK,PARK AVE,KOBUT1BT,315,XXX,,,
1996,CADILLAC,DEVILLE,AB01602T,noRecord,XXX,,,
1996,CADILLAC,ELDORADO,AB01602T,noRecord,XXX,,,
1996,CADILLAC,SEVILLE,AB01602T,noRecord,XXX,,,
1996,NISSAN,200SX,KOBUTA3T,315,???,,,
1996,NISSAN,PATHFINDER,KOBUTA3T,315,???,,,
1997,BUICK,LESABRE,KOBUT1BT,315,XXX,,,
1997,BUICK,PARK AVE,KOBUT1BT,315,XXX,,,
1997,CADILLAC,CATERA,AB01602T,noRecord,XXX,,,
1997,CADILLAC,DEVILLE,AB01602T,noRecord,XXX,,,
1997,CADILLAC,ELDORADO,AB01602T,noRecord,XXX,,,
1997,INFINITI,QX4,KOBUTA3T,315,???,,,
1997,NISSAN,200SX,KOBUTA3T,315,???,,,
1997,NISSAN,PATHFINDER,KOBUTA3T,315,???,,,
1998,BUICK,LESABRE,KOBUT1BT,315,XXX,,,
1998,BUICK,PARK AVE,KOBUT1BT,315,XXX,,,
1998,CADILLAC,CATERA,AB01602T,noRecord,XXX,,,
1998,FORD,ESCORT,CWTWB1U331,314.5/315.5,ASK,,,
1998,FORD,EXPEDITION,CWTWB1U331,314.5/315.5,ASK,,,
1998,FORD,EXPLORER,CWTWB1U331,314.5/315.5,ASK,,,
1998,FORD,F150,CWTWB1U331,314.5/315.5,ASK,,,
1998,FORD,RANGER,CWTWB1U331,314.5/315.5,ASK,,,
1998,FORD,TAURUS,CWTWB1U331,314.5/315.5,ASK,,,
1998,INFINITI,QX4,KOBUTA3T,315,???,,,
1998,NISSAN,200SX,KOBUTA3T,315,???,,,
1998,NISSAN,ALTIMA,KOBUTA3T,315,???,,,
1998,NISSAN,FRONTIER,KOBUTA3T,315,???,,,
1998,NISSAN,PATHFINDER,KOBUTA3T,315,???,,,
1998,TOYOTA,TACOMA,ELVATDD,433.92,ASK,,,
1999,BUICK,LESABRE,KOBUT1BT,315,XXX,,,
1999,BUICK,PARK AVE,KOBUT1BT,315,XXX,,,
1999,CADILLAC,CATERA,AB01602T,noRecord,XXX,,,
1999,FORD,ECONOLINE,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,ESCORT,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,EXPEDITION,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,EXPLORER,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,F150,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,MUSTANG,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,RANGER,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,TAURUS,CWTWB1U331,314.5/315.5,ASK,,,
1999,FORD,WINDSTAR,CWTWB1U331,314.5/315.5,ASK,,,
1999,NISSAN,ALTIMA,KOBUTA3T,315,???,,,
1999,NISSAN,FRONTIER,KOBUTA3T,315,???,,,
1999,NISSAN,PATHFINDER,KOBUTA3T,315,???,,,
1999,NISSAN,QUEST,KOBUTA3T,315,???,,,
1999,TOYOTA,4RUNNER,HYQ12BBX,314.35,ASK,,,
1999,TOYOTA,CAMRY,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,TOYOTA,SIENNA,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,TOYOTA,SOLARA,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,TOYOTA,SOLARA,HYQ12BAN,314.35,ASK,,,
1999,TOYOTA,TACOMA,ELVATDD,433.92,ASK,,,
2000,CHEVROLET,IMPALA,KOBUT1BT,315,XXX,,,
2000,CHEVROLET,MALIBU,KOBUT1BT,315,XXX,,,
2000,CHEVROLET,MONTE CARLO,KOBUT1BT,315,XXX,,,
2000,FORD,CROWN VICTORIA,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,ECONOLINE,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,ESCAPE,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,ESCORT,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,EXCURSION,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,EXPEDITION,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,EXPLORER,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,F150,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,FOCUS,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,MUSTANG,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,RANGER,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,TAURUS,CWTWB1U331,314.5/315.5,ASK,,,
2000,FORD,WINDSTAR,CWTWB1U331,314.5/315.5,ASK,,,
2000,NISSAN,ALTIMA,KOBUTA3T,315,???,,,
2000,NISSAN,FRONTIER,KOBUTA3T,315,???,,,
2000,NISSAN,QUEST,KOBUTA3T,315,???,,,
2000,NISSAN,XTERRA,KOBUTA3T,315,???,,,
2000,SUBARU,FORESTER,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2000,TOYOTA,4RUNNER,HYQ12BBX,314.35,ASK,,,
